Material,Filament Name,Filament URL,Filament Color,Product Image,Hex Code
colorFabb PLA,colorFabb PLA 3D Printer Filament,https://ninjatek.com/shop/colorfabb-pla/,Gray Silver,,N/A
colorFabb PLA,colorFabb PLA 3D Printer Filament,https://ninjatek.com/shop/colorfabb-pla/,Green,,N/A
colorFabb PLA,colorFabb PLA 3D Printer Filament,https://ninjatek.com/shop/colorfabb-pla/,Leaf Green,,N/A
colorFabb PLA,colorFabb PLA 3D Printer Filament,https://ninjatek.com/shop/colorfabb-pla/,Natural,,N/A
colorFabb PLA,colorFabb PLA 3D Printer Filament,https://ninjatek.com/shop/colorfabb-pla/,Red,,N/A
colorFabb PLA,colorFabb PLA 3D Printer Filament,https://ninjatek.com/shop/colorfabb-pla/,Shining Silver,,N/A
colorFabb PLA,colorFabb PLA 3D Printer Filament,https://ninjatek.com/shop/colorfabb-pla/,Signal Yellow,,N/A
colorFabb PLA,colorFabb PLA 3D Printer Filament,https://ninjatek.com/shop/colorfabb-pla/,Silver,,N/A
colorFabb PLA,colorFabb PLA 3D Printer Filament,https://ninjatek.com/shop/colorfabb-pla/,White,,N/A
colorFabb PLA,colorFabb PLA 3D Printer Filament,https://ninjatek.com/shop/colorfabb-pla/,Yellow,,N/A
colorFabb Co-Polyester,colorFabb Co-Polyesters 3D Printer Filament,https://ninjatek.com/shop/colorfabb-co-polyesters/,Black,,N/A
colorFabb Co-Polyester,colorFabb Co-Polyesters 3D Printer Filament,https://ninjatek.com/shop/colorfabb-co-polyesters/,Carbon Gray,,N/A
colorFabb Co-Polyester,colorFabb Co-Polyesters 3D Printer Filament,https://ninjatek.com/shop/colorfabb-co-polyesters/,Clear,,N/A
colorFabb Co-Polyester,colorFabb Co-Polyesters 3D Printer Filament,https://ninjatek.com/shop/colorfabb-co-polyesters/,Dark Blue,,N/A
colorFabb Co-Polyester,colorFabb Co-Polyesters 3D Printer Filament,https://ninjatek.com/shop/colorfabb-co-polyesters/,Dark Gray,,N/A
colorFabb Co-Polyester,colorFabb Co-Polyesters 3D Printer Filament,https://ninjatek.com/shop/colorfabb-co-polyesters/,Dark Green,,N/A
colorFabb Co-Polyester,colorFabb Co-Polyesters 3D Printer Filament,https://ninjatek.com/shop/colorfabb-co-polyesters/,Gold Metalic,,N/A
colorFabb Co-Polyester,colorFabb Co-Polyesters 3D Printer Filament,https://ninjatek.com/shop/colorfabb-co-polyesters/,Gray Metalic,,N/A
colorFabb Co-Polyester,colorFabb Co-Polyesters 3D Printer Filament,https://ninjatek.com/shop/colorfabb-co-polyesters/,Light Blue,,N/A
colorFabb Co-Polyester,colorFabb Co-Polyesters 3D Printer Filament,https://ninjatek.com/shop/colorfabb-co-polyesters/,Light Green,,N/A
colorFabb Co-Polyester,colorFabb Co-Polyesters 3D Printer Filament,https://ninjatek.com/shop/colorfabb-co-polyesters/,Orange,,N/A
colorFabb Co-Polyester,colorFabb Co-Polyesters 3D Printer Filament,https://ninjatek.com/shop/colorfabb-co-polyesters/,Red,,N/A
colorFabb Co-Polyester,colorFabb Co-Polyesters 3D Printer Filament,https://ninjatek.com/shop/colorfabb-co-polyesters/,Silver,,N/A
colorFabb Co-Polyester,colorFabb Co-Polyesters 3D Printer Filament,https://ninjatek.com/shop/colorfabb-co-polyesters/,White,,N/A
colorFabb Specials,colorFabb Specials 3D Printer Filaments,https://ninjatek.com/shop/colorfabb-specials/,Black,,N/A
colorFabb Specials,colorFabb Specials 3D Printer Filaments,https://ninjatek.com/shop/colorfabb-specials/,Natural,,N/A
colorFabb Specials,colorFabb Specials 3D Printer Filaments,https://ninjatek.com/shop/colorfabb-specials/,bronzeFill,,N/A
colorFabb Specials,colorFabb Specials 3D Printer Filaments,https://ninjatek.com/shop/colorfabb-specials/,copperFill,,N/A
colorFabb Specials,colorFabb Specials 3D Printer Filaments,https://ninjatek.com/shop/colorfabb-specials/,glowFill,,N/A
colorFabb Specials,colorFabb Specials 3D Printer Filaments,https://ninjatek.com/shop/colorfabb-specials/,steelFill,,N/A
colorFabb Specials,colorFabb Specials 3D Printer Filaments,https://ninjatek.com/shop/colorfabb-specials/,woodFill,,N/A
